 frequency       v(VOUT1)        v(VOUT1)       
 1.58489319e+08  0.00000000e+00  0.00000000e+00 
 1.99526231e+08  0.00000000e+00  0.00000000e+00 
 2.51188643e+08  0.00000000e+00  0.00000000e+00 
 3.16227766e+08  0.00000000e+00  0.00000000e+00 
 3.98107171e+08  0.00000000e+00  0.00000000e+00 
 5.01187234e+08  0.00000000e+00  0.00000000e+00 
 6.30957344e+08  0.00000000e+00  0.00000000e+00 
 7.94328235e+08  0.00000000e+00  0.00000000e+00 
 1.00000000e+09  0.00000000e+00  0.00000000e+00 
 1.25892541e+09  0.00000000e+00  0.00000000e+00 
 1.58489319e+09  0.00000000e+00  0.00000000e+00 
 1.99526231e+09  0.00000000e+00  0.00000000e+00 
 2.51188643e+09  0.00000000e+00  0.00000000e+00 
 3.16227766e+09  0.00000000e+00  0.00000000e+00 
 3.98107171e+09  0.00000000e+00  0.00000000e+00 
 5.01187234e+09  0.00000000e+00  0.00000000e+00 
 6.30957344e+09  0.00000000e+00  0.00000000e+00 
 7.94328235e+09  0.00000000e+00  0.00000000e+00 
 1.00000000e+10  0.00000000e+00  0.00000000e+00 
