 frequency       v(VOUT1)        v(VOUT1)       
 1.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.25892541e+00  0.00000000e+00  0.00000000e+00 
 1.58489319e+00  0.00000000e+00  0.00000000e+00 
 1.99526231e+00  0.00000000e+00  0.00000000e+00 
 2.51188643e+00  0.00000000e+00  0.00000000e+00 
 3.16227766e+00  0.00000000e+00  0.00000000e+00 
 3.98107171e+00  0.00000000e+00  0.00000000e+00 
 5.01187234e+00  0.00000000e+00  0.00000000e+00 
 6.30957344e+00  0.00000000e+00  0.00000000e+00 
 7.94328235e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e+01  0.00000000e+00  0.00000000e+00 
 1.25892541e+01  0.00000000e+00  0.00000000e+00 
 1.58489319e+01  0.00000000e+00  0.00000000e+00 
 1.99526231e+01  0.00000000e+00  0.00000000e+00 
 2.51188643e+01  0.00000000e+00  0.00000000e+00 
 3.16227766e+01  0.00000000e+00  0.00000000e+00 
 3.98107171e+01  0.00000000e+00  0.00000000e+00 
 5.01187234e+01  0.00000000e+00  0.00000000e+00 
 6.30957344e+01  0.00000000e+00  0.00000000e+00 
 7.94328235e+01  0.00000000e+00  0.00000000e+00 
 1.00000000e+02  0.00000000e+00  0.00000000e+00 
 1.25892541e+02  0.00000000e+00  0.00000000e+00 
 1.58489319e+02  0.00000000e+00  0.00000000e+00 
 1.99526231e+02  0.00000000e+00  0.00000000e+00 
 2.51188643e+02  0.00000000e+00  0.00000000e+00 
 3.16227766e+02  0.00000000e+00  0.00000000e+00 
 3.98107171e+02  0.00000000e+00  0.00000000e+00 
 5.01187234e+02  0.00000000e+00  0.00000000e+00 
 6.30957344e+02  0.00000000e+00  0.00000000e+00 
 7.94328235e+02  0.00000000e+00  0.00000000e+00 
 1.00000000e+03  0.00000000e+00  0.00000000e+00 
 1.25892541e+03  0.00000000e+00  0.00000000e+00 
 1.58489319e+03  0.00000000e+00  0.00000000e+00 
 1.99526231e+03  0.00000000e+00  0.00000000e+00 
 2.51188643e+03  0.00000000e+00  0.00000000e+00 
 3.16227766e+03  0.00000000e+00  0.00000000e+00 
 3.98107171e+03  0.00000000e+00  0.00000000e+00 
 5.01187234e+03  0.00000000e+00  0.00000000e+00 
 6.30957344e+03  0.00000000e+00  0.00000000e+00 
 7.94328235e+03  0.00000000e+00  0.00000000e+00 
 1.00000000e+04  0.00000000e+00  0.00000000e+00 
 1.25892541e+04  0.00000000e+00  0.00000000e+00 
 1.58489319e+04  0.00000000e+00  0.00000000e+00 
 1.99526231e+04  0.00000000e+00  0.00000000e+00 
 2.51188643e+04  0.00000000e+00  0.00000000e+00 
 3.16227766e+04  0.00000000e+00  0.00000000e+00 
 3.98107171e+04  0.00000000e+00  0.00000000e+00 
 5.01187234e+04  0.00000000e+00  0.00000000e+00 
 6.30957344e+04  0.00000000e+00  0.00000000e+00 
 7.94328235e+04  0.00000000e+00  0.00000000e+00 
 1.00000000e+05  0.00000000e+00  0.00000000e+00 
 1.25892541e+05  0.00000000e+00  0.00000000e+00 
 1.58489319e+05  0.00000000e+00  0.00000000e+00 
 1.99526231e+05  0.00000000e+00  0.00000000e+00 
 2.51188643e+05  0.00000000e+00  0.00000000e+00 
 3.16227766e+05  0.00000000e+00  0.00000000e+00 
 3.98107171e+05  0.00000000e+00  0.00000000e+00 
 5.01187234e+05  0.00000000e+00  0.00000000e+00 
 6.30957344e+05  0.00000000e+00  0.00000000e+00 
 7.94328235e+05  0.00000000e+00  0.00000000e+00 
 1.00000000e+06  0.00000000e+00  0.00000000e+00 
 1.25892541e+06  0.00000000e+00  0.00000000e+00 
 1.58489319e+06  0.00000000e+00  0.00000000e+00 
 1.99526231e+06  0.00000000e+00  0.00000000e+00 
 2.51188643e+06  0.00000000e+00  0.00000000e+00 
 3.16227766e+06  0.00000000e+00  0.00000000e+00 
 3.98107171e+06  0.00000000e+00  0.00000000e+00 
 5.01187234e+06  0.00000000e+00  0.00000000e+00 
 6.30957344e+06  0.00000000e+00  0.00000000e+00 
 7.94328235e+06  0.00000000e+00  0.00000000e+00 
 1.00000000e+07  0.00000000e+00  0.00000000e+00 
 1.25892541e+07  0.00000000e+00  0.00000000e+00 
 1.58489319e+07  0.00000000e+00  0.00000000e+00 
 1.99526231e+07  0.00000000e+00  0.00000000e+00 
 2.51188643e+07  0.00000000e+00  0.00000000e+00 
 3.16227766e+07  0.00000000e+00  0.00000000e+00 
 3.98107171e+07  0.00000000e+00  0.00000000e+00 
 5.01187234e+07  0.00000000e+00  0.00000000e+00 
 6.30957344e+07  0.00000000e+00  0.00000000e+00 
 7.94328235e+07  0.00000000e+00  0.00000000e+00 
 1.00000000e+08  0.00000000e+00  0.00000000e+00 
 1.25892541e+08  0.00000000e+00  0.00000000e+00 
